table_name,column_name,data_type,is_primary_key,is_foreign_key
Album,AlbumId,INTEGER,YES,YES
Album,Title,NVARCHAR(160),NO,YES
Album,ArtistId,INTEGER,NO,YES
Artist,ArtistId,INTEGER,YES,NO
Artist,Name,NVARCHAR(120),NO,NO
Customer,CustomerId,INTEGER,YES,YES
Customer,FirstName,NVARCHAR(40),NO,YES
Customer,LastName,NVARCHAR(20),NO,YES
Customer,Company,NVARCHAR(80),NO,YES
Customer,Address,NVARCHAR(70),NO,YES
Customer,City,NVARCHAR(40),NO,YES
Customer,State,NVARCHAR(40),NO,YES
Customer,Country,NVARCHAR(40),NO,YES
Customer,PostalCode,NVARCHAR(10),NO,YES
Customer,Phone,NVARCHAR(24),NO,YES
Customer,Fax,NVARCHAR(24),NO,YES
Customer,Email,NVARCHAR(60),NO,YES
Customer,SupportRepId,INTEGER,NO,YES
Employee,EmployeeId,INTEGER,YES,YES
Employee,LastName,NVARCHAR(20),NO,YES
Employee,FirstName,NVARCHAR(20),NO,YES
Employee,Title,NVARCHAR(30),NO,YES
Employee,ReportsTo,INTEGER,NO,YES
Employee,BirthDate,DATETIME,NO,YES
Employee,HireDate,DATETIME,NO,YES
Employee,Address,NVARCHAR(70),NO,YES
Employee,City,NVARCHAR(40),NO,YES
Employee,State,NVARCHAR(40),NO,YES
Employee,Country,NVARCHAR(40),NO,YES
Employee,PostalCode,NVARCHAR(10),NO,YES
Employee,Phone,NVARCHAR(24),NO,YES
Employee,Fax,NVARCHAR(24),NO,YES
Employee,Email,NVARCHAR(60),NO,YES
Genre,GenreId,INTEGER,YES,NO
Genre,Name,NVARCHAR(120),NO,NO
Invoice,InvoiceId,INTEGER,YES,YES
Invoice,CustomerId,INTEGER,NO,YES
Invoice,InvoiceDate,DATETIME,NO,YES
Invoice,BillingAddress,NVARCHAR(70),NO,YES
Invoice,BillingCity,NVARCHAR(40),NO,YES
Invoice,BillingState,NVARCHAR(40),NO,YES
Invoice,BillingCountry,NVARCHAR(40),NO,YES
Invoice,BillingPostalCode,NVARCHAR(10),NO,YES
Invoice,Total,"NUMERIC(10,2)",NO,YES
InvoiceLine,InvoiceLineId,INTEGER,YES,YES
InvoiceLine,InvoiceId,INTEGER,NO,YES
InvoiceLine,TrackId,INTEGER,NO,YES
InvoiceLine,UnitPrice,"NUMERIC(10,2)",NO,YES
InvoiceLine,Quantity,INTEGER,NO,YES
MediaType,MediaTypeId,INTEGER,YES,NO
MediaType,Name,NVARCHAR(120),NO,NO
Playlist,PlaylistId,INTEGER,YES,NO
Playlist,Name,NVARCHAR(120),NO,NO
PlaylistTrack,PlaylistId,INTEGER,YES,YES
PlaylistTrack,TrackId,INTEGER,NO,YES
Track,TrackId,INTEGER,YES,YES
Track,Name,NVARCHAR(200),NO,YES
Track,AlbumId,INTEGER,NO,YES
Track,MediaTypeId,INTEGER,NO,YES
Track,GenreId,INTEGER,NO,YES
Track,Composer,NVARCHAR(220),NO,YES
Track,Milliseconds,INTEGER,NO,YES
Track,Bytes,INTEGER,NO,YES
Track,UnitPrice,"NUMERIC(10,2)",NO,YES
