table_name,column_name,data_type,is_primary_key
Album,AlbumId,INTEGER,YES
Album,Title,NVARCHAR(160),NO
Album,ArtistId,INTEGER,NO
Artist,ArtistId,INTEGER,YES
Artist,Name,NVARCHAR(120),NO
Customer,CustomerId,INTEGER,YES
Customer,FirstName,NVARCHAR(40),NO
Customer,LastName,NVARCHAR(20),NO
Customer,Company,NVARCHAR(80),NO
Customer,Address,NVARCHAR(70),NO
Customer,City,NVARCHAR(40),NO
Customer,State,NVARCHAR(40),NO
Customer,Country,NVARCHAR(40),NO
Customer,PostalCode,NVARCHAR(10),NO
Customer,Phone,NVARCHAR(24),NO
Customer,Fax,NVARCHAR(24),NO
Customer,Email,NVARCHAR(60),NO
Customer,SupportRepId,INTEGER,NO
Employee,EmployeeId,INTEGER,YES
Employee,LastName,NVARCHAR(20),NO
Employee,FirstName,NVARCHAR(20),NO
Employee,Title,NVARCHAR(30),NO
Employee,ReportsTo,INTEGER,NO
Employee,BirthDate,DATETIME,NO
Employee,HireDate,DATETIME,NO
Employee,Address,NVARCHAR(70),NO
Employee,City,NVARCHAR(40),NO
Employee,State,NVARCHAR(40),NO
Employee,Country,NVARCHAR(40),NO
Employee,PostalCode,NVARCHAR(10),NO
Employee,Phone,NVARCHAR(24),NO
Employee,Fax,NVARCHAR(24),NO
Employee,Email,NVARCHAR(60),NO
Genre,GenreId,INTEGER,YES
Genre,Name,NVARCHAR(120),NO
Invoice,InvoiceId,INTEGER,YES
Invoice,CustomerId,INTEGER,NO
Invoice,InvoiceDate,DATETIME,NO
Invoice,BillingAddress,NVARCHAR(70),NO
Invoice,BillingCity,NVARCHAR(40),NO
Invoice,BillingState,NVARCHAR(40),NO
Invoice,BillingCountry,NVARCHAR(40),NO
Invoice,BillingPostalCode,NVARCHAR(10),NO
Invoice,Total,"NUMERIC(10,2)",NO
InvoiceLine,InvoiceLineId,INTEGER,YES
InvoiceLine,InvoiceId,INTEGER,NO
InvoiceLine,TrackId,INTEGER,NO
InvoiceLine,UnitPrice,"NUMERIC(10,2)",NO
InvoiceLine,Quantity,INTEGER,NO
MediaType,MediaTypeId,INTEGER,YES
MediaType,Name,NVARCHAR(120),NO
Playlist,PlaylistId,INTEGER,YES
Playlist,Name,NVARCHAR(120),NO
PlaylistTrack,PlaylistId,INTEGER,YES
PlaylistTrack,TrackId,INTEGER,NO
Track,TrackId,INTEGER,YES
Track,Name,NVARCHAR(200),NO
Track,AlbumId,INTEGER,NO
Track,MediaTypeId,INTEGER,NO
Track,GenreId,INTEGER,NO
Track,Composer,NVARCHAR(220),NO
Track,Milliseconds,INTEGER,NO
Track,Bytes,INTEGER,NO
Track,UnitPrice,"NUMERIC(10,2)",NO
